Customer_ID,Date,Age,Gender,Location,Device_Type,Traffic_Source,Campaign,Product_Category,Time_Spent_Min,Added_To_Cart,Purchased,Quantity,Revenue,Ad_Spend,Payment_Method
CUST0471,01-01-2026,31,Female,Mumbai,Tablet,Direct,Diwali Sale,Books,9.2,0,0,0,0,0,Not Applicable
CUST0109,02-01-2026,41,Male,Vijayawada,Mobile,WhatsApp,Summer Sale,Fashion,17.4,1,0,0,0,15.62,Not Applicable
CUST0058,02-01-2026,31,Other,Karimnagar,Mobile,Facebook,Summer Sale,Books,16,1,0,0,0,88.2,Not Applicable
CUST0464,02-01-2026,28,Male,Visakhapatnam,Mobile,Facebook,Weekend Offer,Beauty,17.5,1,1,2,2598,81.8,Wallet
CUST0396,03-01-2026,42,Other,Chennai,Mobile,Instagram,Weekend Offer,Sports,11.2,1,0,0,0,61.93,Not Applicable
CUST0439,04-01-2026,34,Female,Hyderabad,Desktop,Direct,Flash Sale,Electronics,6.2,1,1,2,15698,0,UPI
CUST0460,05-01-2026,45,Male,Hyderabad,Desktop,Instagram,Festive Sale,Fashion,2.3,1,1,2,1998,40.95,UPI
CUST0122,06-01-2026,48,Male,Vijayawada,Tablet,Email,New Customer,Grocery,12.4,1,0,0,0,36.89,Not Applicable
CUST0483,06-01-2026,34,Other,Warangal,Desktop,Google,New Customer,Sports,14.6,1,0,0,0,63.7,Not Applicable
CUST0318,07-01-2026,27,Other,Warangal,Tablet,Direct,No Campaign,Beauty,13,0,0,0,0,0,Not Applicable
CUST0113,07-01-2026,18,Male,Karimnagar,Desktop,YouTube,Weekend Offer,Electronics,14.7,1,0,0,0,65.6,Not Applicable
CUST0345,07-01-2026,18,Other,Visakhapatnam,Mobile,Google,Festive Sale,Electronics,18,0,0,0,0,104.11,Not Applicable
CUST0137,08-01-2026,22,Female,Bengaluru,Desktop,Email,Flash Sale,Electronics,12.9,1,0,0,0,30,Not Applicable
CUST0026,08-01-2026,53,Male,Delhi,Mobile,Direct,No Campaign,Electronics,16.1,0,0,0,0,0,Not Applicable
CUST0481,08-01-2026,43,Other,Mumbai,Mobile,Facebook,Festive Sale,Books,9.1,0,0,0,0,41.12,Not Applicable
CUST0351,09-01-2026,55,Other,Nizamabad,Tablet,Google,Summer Sale,Beauty,13.2,0,0,0,0,129.19,Not Applicable
CUST0462,09-01-2026,35,Male,Chennai,Mobile,Instagram,Diwali Sale,Sports,19.8,0,0,0,0,44.22,Not Applicable
CUST0073,10-01-2026,52,Male,Delhi,Mobile,Email,Flash Sale,Electronics,2.3,0,0,0,0,19.56,Not Applicable
CUST0443,10-01-2026,40,Female,Warangal,Mobile,Instagram,No Campaign,Sports,1.8,1,0,0,0,76.66,Not Applicable
CUST0234,10-01-2026,28,Other,Visakhapatnam,Desktop,Direct,No Campaign,Books,3.3,0,0,0,0,0,Not Applicable
CUST0074,11-01-2026,41,Other,Nizamabad,Desktop,YouTube,Festive Sale,Electronics,6.7,0,0,0,0,129.41,Not Applicable
CUST0106,11-01-2026,35,Other,Chennai,Desktop,Instagram,Festive Sale,Beauty,12.5,0,0,0,0,52.59,Not Applicable
CUST0219,12-01-2026,47,Male,Warangal,Mobile,WhatsApp,Diwali Sale,Electronics,14.9,1,0,0,0,34.21,Not Applicable
CUST0192,14-01-2026,34,Other,Delhi,Desktop,Instagram,Weekend Offer,Beauty,16.8,0,0,0,0,73.59,Not Applicable
CUST0010,15-01-2026,28,Female,Bengaluru,Mobile,Email,Summer Sale,Sports,1.7,1,0,0,0,13.88,Not Applicable
CUST0385,16-01-2026,19,Other,Visakhapatnam,Desktop,YouTube,New Customer,Fashion,9.1,1,1,2,5498,36.73,Wallet
CUST0164,17-01-2026,37,Female,Visakhapatnam,Desktop,Direct,New Customer,Home & Kitchen,4.8,1,0,0,0,0,Not Applicable
CUST0215,18-01-2026,22,Other,Warangal,Tablet,Instagram,No Campaign,Beauty,19.4,1,1,2,9898,44.95,Cash on Delivery
CUST0423,18-01-2026,18,Female,Warangal,Tablet,YouTube,New Customer,Books,17.9,1,0,0,0,35.21,Not Applicable
CUST0447,18-01-2026,51,Female,Hyderabad,Mobile,YouTube,Weekend Offer,Electronics,13.6,1,1,3,2497,112.41,UPI
CUST0090,19-01-2026,43,Female,Karimnagar,Mobile,Direct,No Campaign,Electronics,15.1,0,0,0,0,0,Not Applicable
CUST0437,19-01-2026,51,Other,Delhi,Mobile,Facebook,Festive Sale,Fashion,18.6,0,0,0,0,68.47,Not Applicable
CUST0271,20-01-2026,19,Male,Vijayawada,Tablet,Instagram,No Campaign,Grocery,15,1,1,3,3797,32.82,Debit Card
CUST0170,20-01-2026,35,Female,Visakhapatnam,Desktop,WhatsApp,Diwali Sale,Fashion,11.6,1,0,0,0,26.6,Not Applicable
CUST0491,20-01-2026,51,Female,Chennai,Mobile,Google,Festive Sale,Grocery,11.9,1,0,0,0,128.48,Not Applicable
CUST0454,22-01-2026,43,Male,Visakhapatnam,Mobile,Email,Weekend Offer,Grocery,15.9,0,0,0,0,10.88,Not Applicable
CUST0352,22-01-2026,29,Other,Hyderabad,Mobile,Google,New Customer,Books,1.3,1,0,0,0,40.5,Not Applicable
CUST0256,23-01-2026,27,Male,Nizamabad,Desktop,WhatsApp,Diwali Sale,Books,11.7,1,0,0,0,31.14,Not Applicable
