Customer_ID,Date,Age,Gender,Location,Device_Type,Traffic_Source,Campaign,Product_Category,Product_Name,Page_Viewed,Time_Spent_Min,Cart_Status,Purchase_Status,Quantity,Product_Price,Discount,Revenue,Ad_Spend,Payment_Method,Customer_Rating
CUST0001,19-04-2026,24,Other,Warangal,Mobile,YouTube,No Campaign,Home & Kitchen,Mixer Grinder,Product Page,11.9,Not Added,Not Purchased,0,299,0,0,66.71,Not Applicable,
CUST0002,27-01-2026,24,Other,Delhi,Tablet,Direct,No Campaign,Sports,Cricket Bat,Product Page,7.8,Not Added,Not Purchased,0,2999,0,0,4.69,Not Applicable,
CUST0003,29-07-2026,55,Male,Bengaluru,Desktop,Email,Festive Sale,Beauty,Moisturizer,Home Page,17.4,Added,Purchased,1,7999,0,7999,23.97,Cash on Delivery,3
CUST0004,15-04-2026,42,Other,Chennai,Desktop,Direct,Diwali Sale,Home & Kitchen,Cookware Set,Product Page,1.4,Not Added,Not Purchased,0,699,0,0,0.48,Not Applicable,
CUST0005,15-08-2026,41,Male,Karimnagar,Mobile,Direct,Diwali Sale,Fashion,Kurti,Home Page,13,Added,Purchased,1,7999,100,7899,2.19,Net Banking,3.5
CUST0006,01-04-2026,50,Male,Vijayawada,Mobile,Direct,Weekend Offer,Books,Exam Guide,Product Page,8.9,Added,Not Purchased,0,1999,0,0,4.48,Not Applicable,
CUST0007,01-06-2026,20,Male,Mumbai,Desktop,Email,Diwali Sale,Books,Python Book,Checkout Page,16.4,Added,Purchased,2,4999,50,9948,30.95,Wallet,4
CUST0008,05-04-2026,26,Female,Warangal,Desktop,Google,Festive Sale,Books,Python Book,Home Page,19.5,Added,Not Purchased,0,7999,0,0,42.81,Not Applicable,
CUST0009,25-03-2026,28,Other,Nizamabad,Desktop,YouTube,Diwali Sale,Electronics,Laptop Bag,Product Page,6,Not Added,Not Purchased,0,4999,0,0,139.48,Not Applicable,
CUST0010,15-01-2026,28,Female,Bengaluru,Mobile,Email,Summer Sale,Sports,Yoga Mat,Product Page,1.7,Added,Not Purchased,0,1299,0,0,13.88,Not Applicable,
CUST0011,26-04-2026,41,Other,Hyderabad,Desktop,Google,Summer Sale,Beauty,Face Wash,Checkout Page,6.7,Added,Not Purchased,0,299,0,0,52.18,Not Applicable,
CUST0012,13-08-2026,26,Other,Warangal,Mobile,WhatsApp,Festive Sale,Beauty,Shampoo,Home Page,14.5,Added,Purchased,3,699,300,1797,20.63,Wallet,3.5
CUST0013,24-05-2026,20,Male,Chennai,Tablet,Direct,No Campaign,Beauty,Shampoo,Home Page,2.1,Not Added,Not Purchased,0,499,0,0,1.12,Not Applicable,
CUST0014,10-07-2026,28,Female,Visakhapatnam,Mobile,WhatsApp,Summer Sale,Books,Python Book,Home Page,11.6,Not Added,Not Purchased,0,4999,0,0,31.77,Not Applicable,
CUST0015,07-06-2026,32,Female,Karimnagar,Tablet,Google,Flash Sale,Electronics,Wireless Earbuds,Product Page,16,Added,Purchased,2,2999,50,5948,108.74,Credit Card,3
CUST0016,21-03-2026,33,Female,Karimnagar,Desktop,Google,Weekend Offer,Grocery,Coffee,Cart Page,4.1,Added,Not Purchased,0,2499,0,0,70.42,Not Applicable,
CUST0017,30-03-2026,48,Other,Hyderabad,Desktop,Google,Weekend Offer,Books,Python Book,Category Page,10.7,Added,Purchased,2,4999,250,9748,31.37,Wallet,3.5
CUST0018,18-04-2026,45,Female,Visakhapatnam,Mobile,Direct,Weekend Offer,Electronics,Wireless Earbuds,Cart Page,17.5,Added,Not Purchased,0,299,0,0,9.45,Not Applicable,
CUST0019,26-03-2026,31,Male,Hyderabad,Mobile,Facebook,Weekend Offer,Electronics,Power Bank,Product Page,18.9,Added,Not Purchased,0,1999,0,0,20.87,Not Applicable,
CUST0020,11-03-2026,24,Other,Bengaluru,Mobile,Instagram,Weekend Offer,Electronics,Wireless Earbuds,Category Page,10.2,Not Added,Not Purchased,0,2999,0,0,94.54,Not Applicable,
CUST0021,19-04-2026,21,Other,Visakhapatnam,Mobile,YouTube,No Campaign,Home & Kitchen,Storage Box,Checkout Page,14.7,Added,Not Purchased,0,1299,0,0,31.9,Not Applicable,
CUST0022,14-08-2026,55,Other,Hyderabad,Mobile,WhatsApp,Summer Sale,Sports,Cricket Bat,Checkout Page,10.7,Added,Purchased,2,2999,200,5798,15.36,Net Banking,4.5
CUST0023,03-02-2026,36,Male,Visakhapatnam,Tablet,YouTube,Festive Sale,Books,Python Book,Cart Page,12,Added,Not Purchased,0,2999,0,0,115.2,Not Applicable,
CUST0024,01-04-2026,19,Male,Bengaluru,Mobile,Google,Flash Sale,Grocery,Green Tea,Product Page,12.6,Not Added,Not Purchased,0,4999,0,0,108.45,Not Applicable,
CUST0025,25-06-2026,24,Other,Delhi,Mobile,Google,No Campaign,Electronics,Smart Watch,Home Page,16.7,Not Added,Not Purchased,0,1499,0,0,137.53,Not Applicable,
CUST0026,08-01-2026,53,Male,Delhi,Mobile,Direct,No Campaign,Electronics,Wireless Earbuds,Product Page,16.1,Not Added,Not Purchased,0,4999,0,0,1.44,Not Applicable,
CUST0027,15-04-2026,52,Female,Chennai,Mobile,Direct,No Campaign,Books,Python Book,Product Page,10.8,Added,Purchased,2,999,0,1998,2.22,Net Banking,4.5
CUST0028,13-02-2026,34,Male,Delhi,Mobile,Google,Weekend Offer,Grocery,Dry Fruits,Category Page,19.8,Added,Purchased,1,1299,300,999,101.53,Cash on Delivery,4
CUST0029,08-05-2026,23,Female,Nizamabad,Desktop,Direct,No Campaign,Fashion,Sneakers,Cart Page,16.9,Added,Purchased,3,499,500,997,6.67,Debit Card,3
CUST0030,23-02-2026,54,Other,Warangal,Desktop,WhatsApp,Festive Sale,Books,Novel,Product Page,5.9,Added,Purchased,1,2999,300,2699,14.43,Debit Card,3.5
CUST0031,26-04-2026,32,Male,Hyderabad,Desktop,Email,Weekend Offer,Home & Kitchen,Cookware Set,Product Page,3.1,Not Added,Not Purchased,0,1299,0,0,34.32,Not Applicable,
CUST0032,15-05-2026,50,Other,Bengaluru,Desktop,WhatsApp,Weekend Offer,Fashion,T-Shirt,Category Page,3.8,Not Added,Not Purchased,0,299,0,0,24.8,Not Applicable,
CUST0033,07-07-2026,27,Male,Delhi,Mobile,Instagram,Festive Sale,Grocery,Coffee,Checkout Page,19.8,Added,Purchased,3,999,200,2797,25.46,Credit Card,4.5
CUST0034,14-06-2026,52,Male,Mumbai,Mobile,Google,Diwali Sale,Beauty,Sunscreen,Product Page,16.1,Added,Not Purchased,0,699,0,0,128.93,Not Applicable,
CUST0035,31-07-2026,20,Male,Warangal,Mobile,Instagram,Weekend Offer,Beauty,Shampoo,Category Page,1.4,Added,Purchased,1,999,200,799,62.16,Wallet,4.5
CUST0036,02-03-2026,37,Other,Vijayawada,Mobile,YouTube,Flash Sale,Beauty,Sunscreen,Home Page,4.1,Not Added,Not Purchased,0,299,0,0,35.23,Not Applicable,
CUST0037,07-02-2026,38,Female,Mumbai,Tablet,Google,Summer Sale,Books,Python Book,Category Page,18.3,Not Added,Not Purchased,0,1299,0,0,72.58,Not Applicable,
CUST0038,30-03-2026,49,Other,Nizamabad,Mobile,Facebook,Diwali Sale,Sports,Football,Cart Page,11.3,Added,Not Purchased,0,699,0,0,53.19,Not Applicable,
CUST0039,05-06-2026,22,Other,Visakhapatnam,Mobile,Facebook,Flash Sale,Sports,Cricket Bat,Product Page,17.9,Not Added,Not Purchased,0,299,0,0,38.92,Not Applicable,
CUST0040,29-03-2026,41,Other,Warangal,Mobile,WhatsApp,No Campaign,Fashion,Jeans,Cart Page,1.1,Added,Purchased,2,999,500,1498,25.22,UPI,4
CUST0041,17-08-2026,30,Other,Vijayawada,Mobile,Google,Festive Sale,Grocery,Green Tea,Product Page,2.9,Added,Not Purchased,0,1299,0,0,56.64,Not Applicable,
CUST0042,26-03-2026,43,Female,Warangal,Mobile,Google,Festive Sale,Beauty,Face Wash,Cart Page,15.3,Not Added,Not Purchased,0,499,0,0,137,Not Applicable,
CUST0043,22-07-2026,29,Other,Visakhapatnam,Mobile,YouTube,Summer Sale,Home & Kitchen,Mixer Grinder,Product Page,13.3,Not Added,Not Purchased,0,4999,0,0,146.7,Not Applicable,
CUST0044,24-02-2026,41,Other,Bengaluru,Mobile,WhatsApp,New Customer,Fashion,Jacket,Home Page,7,Added,Purchased,1,7999,0,7999,10,UPI,4.5
CUST0045,26-07-2026,33,Male,Delhi,Mobile,Facebook,Weekend Offer,Beauty,Moisturizer,Checkout Page,13.9,Added,Not Purchased,0,299,0,0,82.1,Not Applicable,
CUST0046,24-04-2026,28,Female,Mumbai,Desktop,Google,New Customer,Grocery,Snacks Pack,Cart Page,17.7,Added,Not Purchased,0,1499,0,0,90.45,Not Applicable,
CUST0047,11-05-2026,49,Other,Bengaluru,Mobile,YouTube,Flash Sale,Grocery,Snacks Pack,Product Page,7.1,Not Added,Not Purchased,0,7999,0,0,48.19,Not Applicable,
CUST0048,04-02-2026,36,Other,Mumbai,Desktop,YouTube,New Customer,Grocery,Snacks Pack,Product Page,10.3,Added,Purchased,2,2999,300,5698,114.98,Wallet,3.5
CUST0049,25-06-2026,27,Female,Visakhapatnam,Mobile,YouTube,Summer Sale,Books,Business Book,Checkout Page,16.9,Added,Purchased,1,4999,100,4899,131.86,Debit Card,3.5
CUST0050,21-07-2026,52,Male,Mumbai,Desktop,YouTube,New Customer,Grocery,Coffee,Category Page,17.2,Not Added,Not Purchased,0,1999,0,0,61.02,Not Applicable,
CUST0051,14-04-2026,36,Female,Bengaluru,Desktop,Facebook,No Campaign,Sports,Yoga Mat,Category Page,6.8,Not Added,Not Purchased,0,1499,0,0,62.45,Not Applicable,
CUST0052,21-03-2026,21,Male,Chennai,Mobile,Google,Festive Sale,Fashion,Kurti,Category Page,8.8,Not Added,Not Purchased,0,699,0,0,123.42,Not Applicable,
CUST0053,24-02-2026,33,Male,Mumbai,Mobile,Email,Diwali Sale,Electronics,Power Bank,Home Page,15.4,Added,Not Purchased,0,1499,0,0,10.12,Not Applicable,
